start_date_inclusive,end_date_inclusive,building_identifier,location_street_address,location_street_address_2,location_city,location_country,location_subdivision,location_postal_code,building_kind,building_area_quantity,building_area_unit,building_lease_type,clean_power_percent,building_occupied,heating_type,refrigerants_used,manufacturing_facility_kind,custom_field_region,custom_field_business_unit
2022-01-01,2024-01-31,Los Angeles Office - Administrative or Professional 1,,,Los Angeles,United States,California,,Office - Administrative or Professional,"7,533",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Echo
2022-01-01,2024-01-31,Los Angeles Office - Mixed use 1,,,Los Angeles,United States,California,,Office - Mixed use,"22,030",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Alpha 
2022-01-01,2024-01-31,Los Angeles Office - Mixed use 2,,,Los Angeles,United States,California,,Office - Mixed use,"13,895",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Bravo
2022-01-01,2023-01-01,Los Angeles Office - Administrative or Professional 2,,,Los Angeles,United States,California,,Office - Administrative or Professional,"6,982",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Echo
2022-01-01,2024-01-31,Phoenix Office - Administrative or Professional 1,,,Phoenix,United States,Arizona,,Office - Administrative or Professional,"5,862",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Bravo
2022-01-01,2024-01-31,Phoenix Office - Administrative or Professional 2,,,Phoenix,United States,Arizona,,Office - Administrative or Professional,"8,448",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Charlie
2023-01-01,2024-01-31,Houston Office - Administrative or Professional 1,,,Houston,United States,Texas,,Office - Administrative or Professional,"7,932",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Charlie
2022-01-01,2024-01-31,Houston Office - Administrative or Professional 2,,,Houston,United States,Texas,,Office - Administrative or Professional,"8,320",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Charlie
2022-01-01,2024-01-31,Houston Office - Mixed use 1,,,Houston,United States,Texas,,Office - Mixed use,"10,980",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Bravo
2022-01-01,2024-01-31,Houston Office - Mixed use 2,,,Houston,United States,Texas,,Office - Mixed use,"16,779",square_feet,Owned by us,0,TRUE,,,,North America,Business Unit Echo
